farmer_age,years_experience,land_acres,annual_farm_revenue,alt_income_source,alt_annual_income,total_annual_income,collateral_type,collateral_value,credit_score,loan_amount_requested,approved
67,43,27.25,793341.48,Agri-Services,69658.95,863000.43,Gold/Jewelry,752048.27,552,694748.87,1
68,48,27.64,909769.11,Agri-Services,63271.51,973040.62,Land Title Deeds,1834249.01,648,721332.45,1
63,43,26.25,999099.16,None,0,999099.16,Land Title Deeds,1915861.9,762,717858.45,1
21,0,69.9,1794473.96,Poultry,298573.16,2093047.12,None,0,775,1795566.88,0
48,26,49.73,1696204.28,Dairy,179384.94,1875589.22,Gold/Jewelry,960126.96,706,1285120.98,1
59,39,72.57,1930262.94,Poultry,263141.04,2193403.99,Land Title Deeds,4449027.22,759,1859171.69,1
46,22,18.42,728738.06,Government Pension,101004.37,829742.43,Fixed Deposit,73362.25,619,513966.79,1
66,46,86.07,2467235.3,None,0,2467235.3,Land Title Deeds,7378019.31,763,2201771.24,1
39,16,56.13,2230262.14,None,0,2230262.14,Land Title Deeds,4972009.82,652,1441169.48,1
58,35,82.08,3773636.81,None,0,3773636.81,None,0,505,2087556.45,0
45,22,4.35,91809.27,Dairy,180428.28,272237.56,Land Title Deeds,352594.25,668,123758.66,1
68,48,73.91,1596317.23,Government Pension,45533.09,1641850.32,Gold/Jewelry,292274.69,620,1873429.61,1
63,40,62.23,2129608.71,Dairy,194659.25,2324267.96,Land Title Deeds,3297185.43,620,1581998.3,1
46,22,26.45,723354.83,Dairy,188409.75,911764.58,Land Title Deeds,2616203.83,610,701881.25,1
65,41,38.44,1149869.67,Dairy,131341.63,1281211.3,Fixed Deposit,387234.46,816,1022663.45,1
43,22,97.04,3461150.66,Poultry,112760.99,3573911.64,Land Title Deeds,8896923.82,675,2442320.05,1
63,39,22.27,581686.7,Dairy,147353.16,729039.86,Land Title Deeds,2201983.72,483,567632.21,1
72,50,53.6,1881665.26,Dairy,56609.81,1938275.07,Fixed Deposit,341041.82,434,1439372.3,1
53,32,74.62,2761477.45,Retail Shop,73145.7,2834623.14,Fixed Deposit,135652.6,677,1898369.51,1
55,33,42.46,1422772.44,Retail Shop,90023.51,1512795.96,Land Title Deeds,3267217.92,646,1127457.41,1
36,16,73.38,2504909.32,None,0,2504909.32,Land Title Deeds,4933532.13,783,1848354.01,1
21,0,87.03,2060639.66,None,0,2060639.66,Land Title Deeds,6955745.39,594,2189534.04,1
40,17,32.46,980890.59,Dairy,130514.02,1111404.61,Gold/Jewelry,264033.26,521,880557.57,1
30,10,6.73,246528.01,None,0,246528.01,Tractor/Machinery,1115963.54,583,185836.07,1
69,46,76.45,1835859.81,Dairy,161661.76,1997521.58,Land Title Deeds,6467592,590,2008222.06,1
25,3,2.29,79044.05,Poultry,110895.1,189939.15,None,0,770,73780.5,0
36,13,58.49,2216613.32,Retail Shop,54370.72,2270984.04,Land Title Deeds,4264383.38,767,1556092.28,1
30,6,21.84,361650.98,None,0,361650.98,Land Title Deeds,1499501.08,668,616483.02,1
29,5,28.31,1396152.6,Poultry,113512.06,1509664.66,Land Title Deeds,2427726.02,513,746612.31,1
74,50,20.24,710733.98,Dairy,95264.25,805998.23,Tractor/Machinery,391045.02,789,565739.83,1
29,7,26.12,881768.75,None,0,881768.75,Land Title Deeds,2227244.68,489,670346.1,1
72,50,20.42,613343,Dairy,79431.03,692774.02,Land Title Deeds,1174043.18,517,589408.86,1
63,40,94.6,2480116.43,Retail Shop,117082.63,2597199.06,Land Title Deeds,5256567.52,596,2407825.64,1
29,9,58.79,1783665.56,Dairy,77147.18,1860812.75,Land Title Deeds,3785319.58,586,1556192.55,1
51,29,55.22,2098697.31,Dairy,123592.31,2222289.62,Land Title Deeds,3896529.23,850,1470526.11,1
43,22,54.53,1569484.2,None,0,1569484.2,Land Title Deeds,3018362.12,614,1425564.25,1
22,1,39.48,1662676.47,Dairy,167718.24,1830394.71,None,0,850,1007798.87,0
57,37,33.05,742800.98,None,0,742800.98,Fixed Deposit,355136.94,684,860182.17,1
23,0,86.69,2430362.78,Retail Shop,87547.73,2517910.51,Land Title Deeds,7110286.69,455,2252965.33,1
74,50,12.95,346550.85,Poultry,195194.3,541745.14,Land Title Deeds,1040435.53,654,366020.75,1
40,16,56.02,1466616.04,Retail Shop,93808.16,1560424.2,Land Title Deeds,4411785.41,519,1484937.66,1
70,50,54.11,1587489.45,Dairy,122889.15,1710378.59,Land Title Deeds,4701459.42,737,1452040.82,1
50,28,26.04,1031576.99,None,0,1031576.99,Land Title Deeds,1532705.78,649,702399.06,1
22,0,78.54,2523341.29,Agri-Services,40716.96,2564058.25,Land Title Deeds,5187040.68,586,2035923.83,1
56,32,98.27,1704776.77,None,0,1704776.77,Land Title Deeds,5491528.13,835,2533476.27,1
64,40,88.72,3348320.42,Dairy,108514.48,3456834.91,Land Title Deeds,8251157.88,850,2283435.84,1
61,41,54.7,1890339.27,None,0,1890339.27,Land Title Deeds,5433620.13,597,1405342.6,1
52,30,62.05,1622471.64,None,0,1622471.64,Land Title Deeds,6147488.06,557,1574093.77,1
28,7,58.79,1911397.38,None,0,1911397.38,None,0,575,1513902.8,0
68,48,51.58,1778599.73,Poultry,113258.22,1891857.95,Land Title Deeds,5155812.46,571,1354287.63,1
39,15,69.19,1590494.32,None,0,1590494.32,Land Title Deeds,5396831.2,588,1751933.45,1
45,23,29.04,1171296.42,None,0,1171296.42,Land Title Deeds,1844206.59,850,780330.53,1
75,50,99.93,2983751.84,Agri-Services,100272.7,3084024.54,Land Title Deeds,9896257.51,626,2559645.21,1
42,21,35.46,989974.48,Poultry,167351.79,1157326.27,Gold/Jewelry,736843.7,400,985716.36,1
46,26,24.31,604991.58,Agri-Services,126436.61,731428.19,Land Title Deeds,2143784.25,597,661223.03,1
43,22,95.03,2330048.22,None,0,2330048.22,Gold/Jewelry,413029.15,517,2453096.23,0
69,49,82.23,1813732.42,Retail Shop,54050.79,1867783.21,Land Title Deeds,8125325.7,597,2115012.67,1
54,31,49.77,1616699.71,Dairy,144295.26,1760994.98,Fixed Deposit,385042.87,850,1327967.61,1
69,47,49.09,1577426.89,None,0,1577426.89,Land Title Deeds,4776891.1,648,1290083.6,1
74,50,60.81,1562045.99,None,0,1562045.99,Land Title Deeds,3276006,629,1556841.36,1
34,11,7.84,208389.52,Dairy,75351.23,283740.75,Land Title Deeds,715098.69,596,288116.17,1
50,28,30.96,861180.02,Dairy,101196.43,962376.45,Land Title Deeds,1886482.69,603,788393.73,1
60,40,62.16,1551484.05,Retail Shop,102412.62,1653896.67,Land Title Deeds,4005639.59,736,1611205.56,1
47,23,27.74,1101415.52,Dairy,127324.75,1228740.27,Fixed Deposit,402061.08,679,744392.55,1
74,50,95.8,2593315.81,None,0,2593315.81,Fixed Deposit,184144.39,595,2475509.79,0
32,9,84.28,3318178.05,None,0,3318178.05,Land Title Deeds,5983647.23,573,2119677.03,1
21,1,21.31,612177.97,Agri-Services,132029,744206.97,Land Title Deeds,1318821.5,655,561268.68,1
24,3,57.87,1701636.43,Dairy,110577.2,1812213.64,Land Title Deeds,3982987.75,677,1543909.08,1
21,0,99.36,2529667.25,Retail Shop,98810.8,2628478.04,Tractor/Machinery,400078.56,617,2560888.89,1
71,50,34.91,454010.75,None,0,454010.75,Land Title Deeds,1896614.23,691,897750.98,1
70,50,51.76,1763118.36,Retail Shop,47931.55,1811049.92,Land Title Deeds,2969060.36,556,1353753.47,1
40,20,88.01,2411005.8,Dairy,91748.51,2502754.32,Land Title Deeds,5499408.73,651,2263097.45,1
35,12,70.77,3279298.57,Retail Shop,63263.88,3342562.45,Land Title Deeds,6019888.94,634,1841068.24,1
38,15,56.61,1889147.52,None,0,1889147.52,Land Title Deeds,3312445.09,743,1431285.16,1
27,7,88.49,2112695.43,None,0,2112695.43,Gold/Jewelry,116109.56,798,2225006.71,1
53,31,33.43,842683.07,Poultry,219327.37,1062010.44,Tractor/Machinery,1113696.47,738,897023.15,1
63,41,29.78,859568.47,Dairy,83841.95,943410.42,Tractor/Machinery,918049.05,827,803363.11,1
22,1,40.46,1465630.63,None,0,1465630.63,Land Title Deeds,3138452.19,480,1072344.18,1
34,10,72.84,2659366.08,Dairy,182277.2,2841643.28,Land Title Deeds,6299992.83,641,1910323.9,1
52,30,14.39,601772.48,None,0,601772.48,Land Title Deeds,1280591.84,710,403914.31,1
47,27,27.45,1148824.78,Poultry,169036.47,1317861.25,Tractor/Machinery,741541.5,526,719968.49,1
34,13,74.83,2149705.52,None,0,2149705.52,Land Title Deeds,4065704.08,686,1966840.81,1
29,8,17.54,471311.21,None,0,471311.21,Land Title Deeds,1166445.56,650,508875.68,1
51,27,81.42,2387461.12,Retail Shop,70055.45,2457516.57,None,0,734,2064385.33,0
42,21,60.17,1849372.59,Dairy,100468.73,1949841.31,Land Title Deeds,5923223.08,574,1523342.34,1
33,10,97.69,2119564.67,None,0,2119564.67,Tractor/Machinery,1062522.67,850,2465262.24,1
43,19,11.01,293544.5,None,0,293544.5,Land Title Deeds,816275.11,758,303309.79,1
70,47,80.14,2782180.32,Agri-Services,44155.64,2826335.96,Land Title Deeds,4100848.62,642,2092761.89,1
41,21,20.22,609117.24,Government Pension,42568.3,651685.53,Land Title Deeds,1089150.72,850,562085.05,1
57,34,30.06,1064286.46,Dairy,107410.83,1171697.29,Land Title Deeds,1518846.3,764,817263.82,1
26,2,21.24,735612.51,Agri-Services,111085.64,846698.14,Fixed Deposit,156881.26,608,627244.07,1
63,40,4.82,118316.6,Poultry,147456.92,265773.52,Land Title Deeds,396596.4,850,219607.56,1
48,28,5.57,118721.9,None,0,118721.9,Land Title Deeds,450024.42,704,195791.29,1
65,45,33.26,426376.08,None,0,426376.08,Gold/Jewelry,668642.19,513,881808.21,0
27,3,11.47,424547.98,Poultry,235057.49,659605.47,Tractor/Machinery,815306.02,513,308193.95,1
56,34,58.44,1249138.97,Dairy,163669.57,1412808.54,Gold/Jewelry,876640.94,606,1545975.93,1
21,0,69.39,2107245.18,None,0,2107245.18,Gold/Jewelry,978787.26,534,1801709,0
57,33,27.64,772296.56,Dairy,68649.4,840945.96,Land Title Deeds,1791331.37,720,734225.4,1
71,49,54.55,1087775.74,None,0,1087775.74,Land Title Deeds,4619067.7,587,1431168.24,1
44,20,16.53,558346.99,Agri-Services,94958.69,653305.68,Land Title Deeds,1544069.58,300,470320.7,1
48,24,15.53,470773.24,Dairy,190798.18,661571.42,Gold/Jewelry,461111.91,539,401700.81,1
63,42,83.54,2989430.3,Dairy,182858.74,3172289.04,Land Title Deeds,8135045.24,446,2144826.54,1
41,18,53.13,1698630.17,Agri-Services,40869.53,1739499.7,Land Title Deeds,2680356.38,691,1383194.91,1
68,44,91.82,2844113.65,None,0,2844113.65,Land Title Deeds,6303905.5,701,2362022.95,1
27,5,46.08,1280920.81,None,0,1280920.81,Land Title Deeds,3433554.2,587,1243924.11,1
39,19,61.94,1521646.91,Retail Shop,57133.82,1578780.73,Gold/Jewelry,781621.47,605,1621229.77,1
49,29,40.15,883294.46,Dairy,93428.49,976722.95,Land Title Deeds,2223759.64,603,1087925.82,1
46,23,51.47,1210969.01,None,0,1210969.01,Land Title Deeds,4036754.03,683,1311079.21,1
56,35,24.56,747563.05,None,0,747563.05,Land Title Deeds,1394994.5,458,700615.62,1
24,3,13.11,511538.61,Dairy,145388.86,656927.46,Land Title Deeds,1136314.08,493,367683.65,1
34,14,9.47,275976.61,Poultry,288266.91,564243.52,None,0,715,295488.86,0
27,7,22.44,818897.36,None,0,818897.36,Land Title Deeds,1607491.47,512,626046.16,1
22,1,20.57,568338.53,Dairy,154973.88,723312.41,Land Title Deeds,1829164.38,745,553262.52,1
60,38,90.38,2785384.37,Retail Shop,57599.14,2842983.51,Land Title Deeds,8237174.79,637,2312250.57,1
47,25,5.46,114262.34,Dairy,82287.43,196549.77,Tractor/Machinery,621512.4,478,165525.71,1
73,49,82.92,1531098.84,Agri-Services,115485.66,1646584.5,Land Title Deeds,4500962.2,700,2115171.66,1
50,29,56.71,1575746.76,Dairy,169553.12,1745299.88,Gold/Jewelry,321448.56,534,1490054.36,1
62,39,45.83,1785329.49,Dairy,126455.27,1911784.76,Land Title Deeds,2843995.79,688,1224298.32,1
62,38,58.31,1957078.53,None,0,1957078.53,Gold/Jewelry,576530.42,750,1538335.5,1
36,16,64.11,2170300.13,Poultry,214442.19,2384742.32,None,0,685,1691947.2,0
64,40,50.36,1525223.04,None,0,1525223.04,Land Title Deeds,3343034.19,660,1297534.27,1
67,46,29.43,682679.15,Dairy,184814.39,867493.55,None,0,648,746617.32,0
46,22,45.3,1386636.62,Government Pension,142198.26,1528834.88,Land Title Deeds,4075179.82,561,1186990.49,1
25,5,31.27,864397.09,Poultry,215629.77,1080026.86,Land Title Deeds,2140707.94,559,819925.65,1
29,9,28.33,1083325.95,None,0,1083325.95,None,0,850,799824.45,0
58,36,79.29,2574839.02,Dairy,88265.27,2663104.29,None,0,653,2005265.49,0
22,0,80.29,1239329.05,Dairy,115550.59,1354879.63,Land Title Deeds,5490531.76,662,2083578.6,1
37,17,98.09,3777926.9,Retail Shop,93617.67,3871544.57,Land Title Deeds,8690707.43,627,2475006.39,1
68,47,40.56,1584217.42,Government Pension,134393.37,1718610.79,Land Title Deeds,3071048.53,698,1095567.55,1
62,42,91.31,3277845.86,None,0,3277845.86,Tractor/Machinery,1256052.43,677,2329202.98,1
75,50,67.93,2534431.3,None,0,2534431.3,Fixed Deposit,405706.1,682,1714295.94,1
60,40,30.07,855044.02,None,0,855044.02,Land Title Deeds,2788941,689,797702.82,1
69,49,52.58,1433381.03,None,0,1433381.03,Gold/Jewelry,677227.78,674,1331286.69,1
21,0,89.56,2828199.06,None,0,2828199.06,Land Title Deeds,7413299.44,623,2252309.02,1
68,44,58.35,1851166.99,Agri-Services,112127.23,1963294.23,Land Title Deeds,3605297.98,766,1528971.13,1
41,17,70.51,2662580.67,None,0,2662580.67,Land Title Deeds,4885512.8,720,1837757.43,1
55,32,11.52,366355.48,Dairy,89999.91,456355.39,Land Title Deeds,618898.45,559,368801.08,1
32,8,49.3,1915265.1,None,0,1915265.1,Land Title Deeds,2833181.64,419,1325621.86,1
49,25,60.05,2159011.92,Government Pension,85404.32,2244416.24,None,0,494,1576457.28,0
53,32,96.58,2547099.77,None,0,2547099.77,Gold/Jewelry,484334.41,549,2458989.19,0
26,2,89.06,3162031.75,Poultry,211234.54,3373266.29,Land Title Deeds,7390231.3,594,2302168.36,1
35,14,13.72,538284.84,Dairy,128602.13,666886.97,Land Title Deeds,1133758.01,663,396045.75,1
48,27,99.37,3881614.19,None,0,3881614.19,Land Title Deeds,5778106.13,803,2539937.09,1
55,32,12.2,355714.73,None,0,355714.73,Land Title Deeds,1013403.96,575,392833.91,1
23,0,26.85,1103946.52,Dairy,197025.62,1300972.14,Land Title Deeds,1658896.46,609,730209.65,1
35,14,22.55,787681.65,None,0,787681.65,None,0,700,643479.74,0
54,33,73.2,2564882.47,Agri-Services,131291.48,2696173.95,Tractor/Machinery,502931.56,561,1869243.35,1
40,16,26.8,668302.95,Poultry,97887.83,766190.78,Land Title Deeds,1830505.44,666,709625.79,1
57,36,6.46,224309.75,None,0,224309.75,Tractor/Machinery,390000.92,628,210056.61,1
26,2,46.75,1361555.84,Dairy,78125.58,1439681.42,Land Title Deeds,2566491.8,850,1187798.78,1
32,8,46.53,1133836.53,None,0,1133836.53,Gold/Jewelry,269847.39,563,1207959.96,0
47,27,80.39,3492568.33,Agri-Services,106770.81,3599339.15,Land Title Deeds,4807691.56,499,2067663.56,1
45,24,31.36,1213622.47,None,0,1213622.47,Tractor/Machinery,598451.2,673,882276.59,1
52,31,35.96,925132.83,Agri-Services,70396.64,995529.47,Tractor/Machinery,1101314.8,688,940068.77,1
65,41,7.78,309976.68,Poultry,297679.41,607656.09,Gold/Jewelry,901132.81,780,273644.68,1
57,33,21.16,553773.61,None,0,553773.61,Land Title Deeds,1596986.22,628,546222.1,1
39,15,7.81,277881.51,Dairy,172699.22,450580.73,Tractor/Machinery,968353.67,483,229968.86,1
39,15,4.81,112082.26,Agri-Services,101216.31,213298.57,Land Title Deeds,314511.86,612,182248.74,1
75,50,67.95,2156606.47,Dairy,66060.38,2222666.85,None,0,680,1776257.27,0
65,44,12.19,429664.71,None,0,429664.71,None,0,751,376419.36,0
29,9,45.54,1701085.07,None,0,1701085.07,Land Title Deeds,4390241.32,483,1193147.24,1
29,9,22.28,652252.28,Retail Shop,126050,778302.28,None,0,589,611611.14,0
72,50,92.21,2089905.87,None,0,2089905.87,Land Title Deeds,7474426.27,827,2359073.13,1
49,26,60.83,2050637.86,None,0,2050637.86,Land Title Deeds,4677667.53,746,1592509.71,1
36,15,92.92,2153543.24,Dairy,176089.55,2329632.8,Land Title Deeds,6067959.09,705,2342290.73,1
51,28,19.34,682938.07,Poultry,252953.86,935891.94,Land Title Deeds,1846244.98,460,565552.03,1
51,30,25.2,876447.37,Government Pension,54766.37,931213.74,Land Title Deeds,1570141.61,467,725871.86,1
22,0,83.53,1583758.52,Poultry,170793.96,1754552.49,Land Title Deeds,6256083.49,528,2144776.85,1
69,49,30.27,1323999.45,Poultry,149240.07,1473239.53,Land Title Deeds,2614081.75,638,823177.9,1
37,16,15.48,535590.6,None,0,535590.6,Land Title Deeds,1039608.98,737,402399.41,1
62,40,51.27,1997454.47,None,0,1997454.47,Land Title Deeds,3326738.01,639,1376970.22,1
30,10,61.28,1968302.64,None,0,1968302.64,Land Title Deeds,5672387.52,557,1569337.24,1
29,9,66.15,1921500.96,Agri-Services,138472.81,2059973.77,Land Title Deeds,5959608.77,824,1729216.7,1
36,14,47.31,1176614.26,Agri-Services,146507.82,1323122.08,Land Title Deeds,4108885.25,768,1212820.53,1
30,10,6.03,179201.26,Poultry,175458.74,354660,Land Title Deeds,393765.35,690,179335.06,1
39,18,22.93,751575.12,None,0,751575.12,Tractor/Machinery,827800.8,627,617916.9,1
38,16,15.5,340557.99,Dairy,160107.33,500665.32,Land Title Deeds,1222991.71,688,482847.88,1
71,50,45.29,1459733.39,Retail Shop,71434.67,1531168.06,Land Title Deeds,3862844.75,616,1231489.93,1
35,13,45.09,2004791.74,Retail Shop,112890.97,2117682.71,Land Title Deeds,2382516.58,688,1208608.96,1
54,32,21.07,613811.1,Dairy,199638.74,813449.84,Land Title Deeds,1535916.42,681,561917.59,1
23,1,14.65,438326.21,Poultry,94852.09,533178.31,Gold/Jewelry,239588.03,585,459099.98,0
34,12,20.74,672099.89,Retail Shop,41323.9,713423.8,Land Title Deeds,2046087.33,706,600393.8,1
34,13,93.82,1946241.24,Dairy,67755.91,2013997.15,Land Title Deeds,8928737.75,562,2394291.07,1
32,10,51.81,811410.1,Poultry,98341.64,909751.74,Fixed Deposit,382564.86,602,1343636.12,1
64,44,35.35,928246.6,Dairy,171148.57,1099395.18,Land Title Deeds,3161931.53,462,900631.04,1
24,0,52.82,2751315.46,Dairy,129400.7,2880716.16,Land Title Deeds,4285670.33,544,1376695.79,1
21,0,47.25,1268413.5,Dairy,97021.46,1365434.96,Land Title Deeds,4119731.36,637,1196271.93,1
24,0,67,2046532.01,Dairy,64291.77,2110823.78,Land Title Deeds,3950200.16,674,1727934.89,1
23,3,74.77,2419842.3,None,0,2419842.3,Fixed Deposit,497112.1,526,1898233.98,0
36,15,60.86,1979341.44,Dairy,144692.48,2124033.93,Fixed Deposit,349223.98,665,1563272.45,1
30,9,60.91,1583593.96,Poultry,195967.76,1779561.73,Land Title Deeds,3759328.02,783,1608572.09,1
35,15,82.03,2205312.44,Dairy,58198,2263510.44,Land Title Deeds,4487338.57,543,2079337.61,1
34,13,25.31,713588.43,Poultry,197411.19,910999.62,Land Title Deeds,2002096.51,612,703019.71,1
71,47,57.9,1871805.05,Dairy,173979.75,2045784.8,Land Title Deeds,3176867.33,686,1529706.85,1
26,3,32.91,1365870.34,None,0,1365870.34,Land Title Deeds,1789455.1,620,910622.51,1
57,34,50.88,1507727.95,None,0,1507727.95,Land Title Deeds,4531444.25,628,1353674.55,1
33,12,61.32,1968493.08,None,0,1968493.08,Land Title Deeds,3855549.82,643,1600692.05,1
34,14,87.3,2630826.34,None,0,2630826.34,Fixed Deposit,82816.65,650,2260997.79,1
31,8,48.82,1231645.82,None,0,1231645.82,Tractor/Machinery,1484583.7,744,1310276.07,1
48,27,21.4,687629.58,Poultry,295554.97,983184.55,Land Title Deeds,1727632.63,628,600500.65,1
65,42,96.41,3694487.61,None,0,3694487.61,Land Title Deeds,9511381.85,781,2427733.5,1
46,22,2.08,54493.47,None,0,54493.47,Land Title Deeds,191764.33,553,120643.31,0
67,43,37.52,1475623.69,Retail Shop,139005.36,1614629.04,None,0,649,1023342.77,0
22,0,30.65,551166.34,Poultry,116152.51,667318.85,Land Title Deeds,2542045.09,598,830644.48,1
32,8,54.22,1268116.73,Poultry,294492.46,1562609.19,Tractor/Machinery,1225804.49,602,1431839.4,1
55,35,24.98,1153904.4,Retail Shop,76140.96,1230045.36,Land Title Deeds,1259362.2,411,660854.48,1
50,28,78.16,1574435.23,Retail Shop,47707.41,1622142.63,Fixed Deposit,80550.96,563,2006070.75,0
52,28,20.23,475609.61,Dairy,189207.52,664817.14,Land Title Deeds,1090302.87,530,535662.64,1
53,31,58.45,1360698.93,None,0,1360698.93,Tractor/Machinery,350764.75,575,1557463.67,0
38,16,66.23,1489116.91,None,0,1489116.91,Land Title Deeds,6110997.69,739,1687208.76,1
44,21,35.85,1068761.42,Poultry,157348.5,1226109.92,Land Title Deeds,3217452.37,503,943979.22,1
33,10,9.76,248317.32,Dairy,86088.25,334405.58,Gold/Jewelry,869881.19,803,334872.71,1
45,24,88.45,2407313.99,Retail Shop,55867.3,2463181.29,Tractor/Machinery,569096.63,793,2294865.09,1
65,45,67.49,1782466.96,Poultry,287472.96,2069939.93,Land Title Deeds,5912749.68,676,1775694.22,1
47,23,78.13,1574433.09,Poultry,152682.12,1727115.21,Land Title Deeds,7341634.47,433,2049040.16,1
59,36,80.37,909372.19,Government Pension,43605.6,952977.79,Land Title Deeds,4317156.71,711,2048662.83,1
34,13,28.64,1392807.67,Dairy,94937.67,1487745.34,Land Title Deeds,1486224.4,431,773733.71,1
38,17,98.2,3413812.34,Dairy,167797.97,3581610.32,Fixed Deposit,97611.48,719,2536483.14,1
29,9,79.95,2444757.34,None,0,2444757.34,Land Title Deeds,7301920.93,702,2011517.26,1
60,40,48.11,1854966.25,None,0,1854966.25,Land Title Deeds,3499851.25,659,1215607.68,1
22,1,53.38,1532974.72,Retail Shop,64623.22,1597597.95,Land Title Deeds,4637671.01,553,1397544.78,1
41,20,29,1051918.43,None,0,1051918.43,Land Title Deeds,2298494.87,804,743854.8,1
40,20,29.79,1222625.76,Dairy,63753.53,1286379.3,Land Title Deeds,1579659.45,687,797052.6,1
43,20,83.13,3084533.21,Dairy,105788.49,3190321.7,Land Title Deeds,4648165.56,601,2161962.43,1
73,49,44.11,1469791.13,None,0,1469791.13,Land Title Deeds,2780683.53,526,1174535.77,1
40,20,16.86,501677.58,None,0,501677.58,Land Title Deeds,1566451.71,550,514143.1,1
28,7,92.57,3134541.78,None,0,3134541.78,Land Title Deeds,4752192.15,657,2330822.55,1
49,29,49.8,1543518.46,Poultry,170036.97,1713555.44,Land Title Deeds,4266412.49,672,1328632.9,1
25,2,35.74,753602.83,Retail Shop,114749.07,868351.9,Land Title Deeds,2965859.64,623,925209.97,1
28,5,52.77,958656.51,Retail Shop,128526.84,1087183.34,Land Title Deeds,3979319.03,666,1389703.24,1
64,42,59.17,1899637.73,Dairy,109213.45,2008851.19,None,0,720,1518949.84,0
46,25,72.74,2031944.01,None,0,2031944.01,Land Title Deeds,7130676.8,597,1856774.5,1
61,40,75.86,2449220.38,Agri-Services,141184.56,2590404.94,Land Title Deeds,6599383.6,638,1955343.58,1
35,13,44.84,1807702.93,Dairy,197327.08,2005030,Land Title Deeds,3595856.45,833,1160676.91,1
56,32,16.3,538139.46,None,0,538139.46,Land Title Deeds,909122.78,704,479909.83,1
75,50,27.23,550384.86,Dairy,108283.95,658668.81,Land Title Deeds,2141750.85,608,770584.92,1
40,18,89.14,2895206.83,Agri-Services,83541.1,2978747.93,Land Title Deeds,5823240.32,721,2285926.56,1
47,25,22.49,554958.95,Dairy,67893.15,622852.1,None,0,492,619622.89,0
61,38,85.13,2985630.79,Retail Shop,52048.58,3037679.37,Fixed Deposit,311179.65,619,2189271.44,1
69,48,68.25,2306672.51,Dairy,109570.51,2416243.02,Gold/Jewelry,996022.72,603,1777159.26,1
47,23,39.18,1291244.85,None,0,1291244.85,Gold/Jewelry,475762.54,432,1015215,0
38,18,26.34,916480.97,Dairy,124440.18,1040921.15,Land Title Deeds,1786408.03,653,725620.02,1
28,4,9.65,383290.04,Dairy,88173.79,471463.83,Land Title Deeds,565993.98,566,291863.89,1
53,30,45.56,1403242.06,Poultry,288412.52,1691654.59,Land Title Deeds,2917438.52,549,1182368.52,1
22,1,63.46,2688774.99,None,0,2688774.99,Land Title Deeds,5685494.58,573,1604793.9,1
39,16,16.86,584354.73,Government Pension,89959.97,674314.7,Tractor/Machinery,309538.93,644,475162.18,1
40,20,85.72,2527492.48,None,0,2527492.48,Land Title Deeds,6571224.3,755,2159445.57,1
69,48,22.99,535877.57,Agri-Services,92244.07,628121.64,Land Title Deeds,1884366.41,767,597207.45,1
25,5,45.69,1198031.9,None,0,1198031.9,Land Title Deeds,4124111.98,632,1190513.02,1
29,9,63.69,1770543.66,None,0,1770543.66,Land Title Deeds,4486647.4,663,1656819.84,1
75,50,85.37,2460581.31,Dairy,59115.79,2519697.1,Land Title Deeds,6974556.34,479,2196429.35,1
67,47,35.89,1067506.62,Agri-Services,135223.51,1202730.13,Land Title Deeds,2628149.84,516,950115.22,1
37,15,10.66,338307.23,Dairy,187947.67,526254.9,Land Title Deeds,569487.65,787,289793.13,1
49,29,31.86,756206.39,Poultry,248835.09,1005041.48,Gold/Jewelry,691710.91,631,880399.45,1
58,37,15.1,456340.88,Retail Shop,73594.14,529935.02,Land Title Deeds,1382728.73,635,473815.82,1
52,32,12.98,403425.39,Poultry,116072.41,519497.79,Land Title Deeds,737207.01,496,336986.89,1
49,25,81.04,2023210.33,Agri-Services,52974.51,2076184.84,Land Title Deeds,6114650.1,562,2106428.18,1
42,21,83.66,2427824.41,None,0,2427824.41,Tractor/Machinery,616092.41,387,2172867.56,0
51,29,58.7,2109175.6,Retail Shop,92608.87,2201784.47,Land Title Deeds,4169046.8,802,1514607.85,1
33,10,42.55,1531076.17,Agri-Services,106224.37,1637300.54,Land Title Deeds,2265136.34,656,1088041.5,1
36,14,52.66,928654.4,Retail Shop,85947.76,1014602.16,Land Title Deeds,3118925.18,768,1336722.4,1
41,20,46.05,1454267.86,None,0,1454267.86,Land Title Deeds,4039983.03,684,1229034.67,1
60,39,68.12,2359000.59,Retail Shop,79615.81,2438616.4,Gold/Jewelry,661713.34,618,1774450.96,1
36,12,53.16,1461629.55,Dairy,91313.97,1552943.52,Land Title Deeds,3569961.71,795,1409343.12,1
33,13,57.47,1549051.86,Dairy,159789.56,1708841.42,Land Title Deeds,4659203.69,679,1448835.79,1
26,5,51.65,1566427.5,Agri-Services,65383.78,1631811.28,Land Title Deeds,3732326.87,554,1361531.29,1
33,9,12.36,307146.95,None,0,307146.95,None,0,843,352730.44,0
75,50,36.75,1141819.17,Poultry,85170.81,1226989.98,Land Title Deeds,3246590.22,431,936395.65,1
56,36,20.89,461512.78,Retail Shop,104281.92,565794.7,Land Title Deeds,1916630.67,617,549721.72,1
42,18,98.72,1786036.47,Poultry,242358.71,2028395.18,Tractor/Machinery,705148.01,611,2555254.21,1
51,31,63.59,2052213.98,Retail Shop,88765.53,2140979.51,Gold/Jewelry,608009.32,716,1609381.63,1
